Park,Point transect,Point transect identification,Ecoregion,Universal Transverse Mercator Zone,Easting coordinate,Northing coordinate,Elevation,Date and Time,Temperature,Sky condition,Wind speed (km/h),Duration of survey (min),Species
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2007-06-21 9:31,12.9,Scattered,1.4,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2017-06-15 8:43,6.4,Clear,1.2,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2010-06-11 8:37,6.8,Clear,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2009-06-16 8:42,9.7,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2016-06-14 8:45,7,broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2008-06-15 8:23,5,Broken,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2014-06-10 8:19,10.6,overcast,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2013-06-17 8:31,9,Scattered,0,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2011-06-13 7:15,9.7,broken,1.1,10,
JNP,Elysium Pass,9,Lower Subalpine,11N,413349,5861842,1470,2015-06-22 8:42,8,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2010-07-01 8:59,3.8,Clear,1.8,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2008-07-06 9:06,8.2,Overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2011-07-13 9:09,10.2,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2009-07-01 9:04,6.1,Scattered,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2016-07-01 9:15,13,overcast,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2014-06-22 8:53,4.6,clear,0,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2015-06-25 9:22,13.5,broken,1.6,10,
JNP,Opal Hills,10,Lower Subalpine,11N,457907,5844146,1965,2013-06-24 9:33,7,Clear,0,10,
