Recording Transcription Identification,Measure Identification,Year,Date,Recording Start Time,Recording Station Identification,Route Name,Route Identification,Station,UTM Zone,UTM Easting,UTM Northing,Observer,Cloud Cover (%),Wind Speed (Beaufort Scale),Temperature (°C),Background Noise Level,Transcriber,American Ornithologists' Union Species Code,Number of Birds Detected From 0 - 3 Minutes,Number of Birds Detected From 3 - 5 Minutes,Number of Birds Detected From 5 - 10 Minutes,Call Detected During Bird Fly Over,Vegetation Community,Observer Comments,Transcriber Comments,Comments
571,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,BHVI,1,0,0,FALSE,MW,,,
572,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,YRWA,0,1,1,FALSE,MW,,,
573,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,BBWA,0,1,0,FALSE,MW,,,
574,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,BOCH,1,0,0,FALSE,MW,,,
575,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,TEWA,0,0,1,FALSE,MW,,,
472,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,TEWA,1,0,0,FALSE,CP,,,
473,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,YRWA,0,1,1,FALSE,CP,,,
474,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,BOCH,0,1,0,FALSE,CP,,,
475,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,SWTH,1,0,0,FALSE,CP,,,
476,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,HETH,0,1,0,FALSE,CP,,,
477,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,OVEN,1,0,1,FALSE,CP,,,
478,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,CHSP,1,0,0,FALSE,CP,,,
479,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,RESQ,1,0,0,FALSE,CP,,,
480,PANP-02-B5-2005-1,2005,02/07/2005,5:08,PANP-02-B5,Camp 10,2,B5,13U,427793,5958890,,,,,Light,1,WTSP,0,0,1,FALSE,CP,,,
481,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,SWTH,3,1,0,FALSE,CP,,,
482,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,PISI,0,1,0,FALSE,CP,,,
483,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,BRCR,0,0,1,FALSE,CP,,,
484,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,CHSP,2,0,0,FALSE,CP,,,
485,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,WIWR,1,0,0,FALSE,CP,,,
486,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,YRWA,1,0,0,FALSE,CP,,,
487,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,BBWA,0,0,1,FALSE,CP,,,
488,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,TEWA,0,0,1,FALSE,CP,,,
489,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,DEJU,0,0,1,FALSE,CP,,,
490,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,BHVI,0,0,1,FALSE,CP,,,
491,PANP-02-C4-2005-1,2005,02/07/2005,8:05,PANP-02-C4,Camp 10,2,C4,13U,427403,5958460,,,,,Light,1,RESQ,1,0,1,FALSE,CP,,,
492,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,EVGR,0,0,1,FALSE,,,,
493,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,PISI,2,0,0,TRUE,,,,
494,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,DEJU,1,0,0,FALSE,,,,
576,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,CEDW,0,0,1,FALSE,,,,
577,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,HETH,3,0,0,FALSE,,,,
578,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,CHSP,0,1,0,FALSE,,,,
579,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,NAWA,2,0,0,FALSE,,,,
580,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,TEWA,0,0,1,FALSE,,,,
581,PANP-02-C5-2005-1,2005,02/07/2005,8:45,PANP-02-C5,Camp 10,2,C5,13U,427815,5958279,,,,,None,1,YRWA,1,1,0,FALSE,,,,
582,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,YRWA,2,0,0,FALSE,,,,
583,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,CEDW,0,1,0,FALSE,,,,
584,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,DEJU,2,0,0,FALSE,,,,
585,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,PISI,0,0,1,FALSE,,,,
586,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,TEWA,0,0,1,FALSE,,,,
587,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,HETH,0,0,1,FALSE,,,,
588,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,OVEN,1,0,0,FALSE,,,,
589,PANP-02-D1-2005-1,2005,02/07/2005,9:00,PANP-02-D1,Camp 10,2,D1,13U,427837,5957858,,,,,Light,1,EVGR,0,1,0,FALSE,,,,
590,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,YRWA,2,0,0,FALSE,CS,,,
591,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,BBWA,1,0,0,FALSE,CS,,,
592,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,GCKI,0,0,1,FALSE,CS,,,
593,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,RCKI,0,1,0,FALSE,CS,,,
594,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,BOCH,1,0,0,FALSE,CS,,,
595,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,BRCR,0,1,0,FALSE,CS,,,
596,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,CHSP,0,1,0,FALSE,CS,,,
597,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,WIWR,1,0,0,FALSE,CS,,,
598,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,TEWA,0,1,0,FALSE,CS,,,
599,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,CMWA,0,1,0,FALSE,CS,,,
600,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,OVEN,0,1,0,FALSE,CS,,,
601,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,HETH,0,0,1,FALSE,CS,,,
602,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,SWTH,1,0,0,FALSE,CS,,,
603,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,BHVI,0,0,1,FALSE,CS,,,
604,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,GRAJ,0,0,1,FALSE,CS,,,
605,PANP-02-D4-2005-1,2005,03/07/2005,9:20,PANP-02-D4,Camp 10,2,D4,13U,427530,5958073,,,,,Light,1,RESQ,1,0,0,FALSE,CS,,,
606,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,SWTH,1,0,0,FALSE,,,,
607,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,PISI,0,1,0,FALSE,,,,
608,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,CHSP,0,1,0,FALSE,,,,
609,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,CMWA,1,0,0,FALSE,,,,
610,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,BOCH,1,0,0,FALSE,,,,
611,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,YRWA,1,0,0,FALSE,,,,
612,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,GCKI,0,1,0,FALSE,,,,
613,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,BRCR,0,1,0,FALSE,,,,
614,PANP-02-E2-2005-1,2005,03/07/2005,8:02,PANP-02-E2,Camp 10,2,E2,13U,426781,5957393,,,,,Light,1,HETH,0,0,1,FALSE,,,,
